22|11083,21920,33137,41397,52921,61423,71597,79891,87651,96894,106975,118779,126629,134325,143639,152438,160426,174322,182295,190670,199944,208816
21|9876,18237,31278,43701,55051,65885,75310,84493,93742,101542,110908,121085,133011,143034,152704,166329,175954,186146,195396,205761,216574
25|10282,18559,26584,35371,43950,52290,61965,71637,81622,91886,100614,108038,116317,123967,133036,142047,150002,158456,167951,178821,188069,197806,207981,218504,227398
18|11874,21667,34151,43867,56102,67825,75860,83671,91364,99825,110734,120955,130403,139259,147664,158872,170280,183999
20|8661,18766,28250,39071,48599,56904,64808,73671,83100,92342,102603,111116,120017,129690,139346,146364,159197,167746,178318,190009
23|8383,16937,26022,34676,44118,54387,64399,74839,84409,93437,103919,112624,122811,134835,143752,152859,164288,173485,183095,191679,199585,208076,217593
21|9354,17989,27242,36715,46409,57154,65597,73904,83426,91703,103261,111935,120949,137092,147172,161056,170598,180119,189435,198649,207534
23|11125,19598,28082,37219,46240,57896,68296,77255,86636,95736,104824,114223,123223,132140,141904,149424,159924,168746,178082,188625,199523,208998,216910
22|9129,17447,26657,35606,43952,53152,64213,74495,84646,93159,101725,109862,118081,127819,137863,147898,155783,164892,176547,187046,197858,207419
21|10652,20172,29699,39988,51601,63756,73083,81435,91424,101271,110946,119700,127773,135954,143937,153794,166688,177194,189194,198441,207661
22|9682,19486,30408,39597,49477,56960,65229,74572,82959,91376,101084,110790,119105,127789,139999,151054,159879,168887,176636,185736,197091,208658
22|8932,19149,28118,36889,45451,55451,66526,74551,85959,95403,106392,116215,126332,135450,144867,155342,165682,175018,186295,196568,204519,211482
26|23931,31563,39829,47536,54874,63601,71118,80560,87834,95552,105839,112962,121605,131165,139110,148166,156675,164883,173082,180863,188439,197761,207544,215364,224793,234572
26|9402,18432,27130,36489,43861,53623,62678,70435,78001,86123,94445,103189,111488,119739,128224,137108,146301,154809,163254,172596,180962,190120,200360,208823,217598,227512
25|9820,18484,27430,34897,43850,52849,60901,70560,80497,90079,99406,109788,118530,127272,135698,144595,152495,160635,170276,178705,189203,199765,209398,218711,231056
24|10575,19537,27151,36183,45720,53777,61273,70853,77782,86411,96768,105033,113143,120762,133865,143467,154067,162821,173262,182690,190848,199697,207943,220333
23|11596,22367,32027,40684,49458,56682,65374,73283,81767,93186,103055,112265,120992,131259,139018,145938,154153,164058,174357,182972,194847,202645,211817
24|10575,19537,27151,36183,45720,53777,61273,70853,77782,86411,96768,105033,113143,120762,133865,143467,154067,162821,173262,182690,190848,199697,207943,220333
23|10062,18092,28984,37660,47028,55341,64753,75062,84430,93371,103022,111257,119932,128570,137872,148731,159081,172389,181191,191081,201201,209844,221648
